selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Aaron Pan,Fri Jan 17 19:39:24 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Ecuador,General,259,443,1,21615,False,8104,False,http://pbs.twimg.com/profile_images/1206008157597765632/WHyy3aFm_normal.jpg,
📼 ホイット・マクレンドン📼,Fri Jan 17 19:39:37 +0000 2020,@MintyCocoCalico @ChiefKacey Do it this with any popular furries 😆,Ecuador,Quito,2,22,0,2918,False,685,False,http://pbs.twimg.com/profile_images/1174881726755213313/vZK8ms6B_normal.jpg,
sonicj01,Fri Jan 17 19:40:04 +0000 2020,@blueongurls @BaileyNightsky9 @SamuelAdams89 @cateblandchett @tydedermody i have seen hard evidence from reputable… https://t.co/oFgukPjB1M,Ecuador,General,21,395,2,2573,False,4329,False,http://pbs.twimg.com/profile_images/1020045908745080832/zrsqPydL_normal.jpg,
blue eyes white dragon,Fri Jan 17 19:40:09 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,207,193,3,7394,False,13104,False,http://pbs.twimg.com/profile_images/1159171613515898880/obBTVnEX_normal.jpg,
Emily Penrose,Fri Jan 17 19:40:16 +0000 2020,RT @NBCNews: One of the age groups most likely to be sidelined by the flu this season is also the least likely to get flu shots: millennial…,Ecuador,General,93,165,1,145,False,266,False,http://pbs.twimg.com/profile_images/968535245669765120/_7E4xbL1_normal.jpg,
Iyana,Fri Jan 17 19:40:23 +0000 2020,Facts I just getting over the flu and army thought I had a common cold with a temperature of 101 😒,Ecuador,General,2641,2462,19,12098,False,63496,False,http://pbs.twimg.com/profile_images/1211403166060707840/ZUbR4C6D_normal.jpg,
solange,Fri Jan 17 19:40:24 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,454,298,5,27416,False,37291,False,http://pbs.twimg.com/profile_images/1216624009778991104/Dj63uMx0_normal.jpg,
selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
V,Fri Jan 17 19:36:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,200,276,0,6389,False,4531,False,http://pbs.twimg.com/profile_images/1156645791223517186/8EHF77lb_normal.jpg,
Niño,Fri Jan 17 19:36:21 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,95,77,0,5547,False,1740,False,http://pbs.twimg.com/profile_images/1217213186908262400/_fOnMHib_normal.jpg,
duwopdiego,Fri Jan 17 19:36:23 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Argentina,General,63,92,0,1180,False,2472,False,http://pbs.twimg.com/profile_images/1108383046808420353/ozmgrUOb_normal.jpg,
San Yon,Fri Jan 17 19:36:23 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Argentina,General,88,112,0,2009,False,342,False,http://pbs.twimg.com/profile_images/702946213977530368/Kio8XY75_normal.jpg,
dominic simon,Fri Jan 17 19:36:24 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,248,223,1,5269,False,2162,False,http://pbs.twimg.com/profile_images/1071476154215948290/32AWC-vn_normal.jpg,
shea butter 🌸,Fri Jan 17 19:36:29 +0000 2020,@6foot5nbearded Aht Aht flu shots are HORRIBLE,Argentina,General,2314,2176,2,2673,False,36708,False,http://pbs.twimg.com/profile_images/1211487921041227777/dgKGgVJN_normal.jpg,
Tumblus Exodus,Fri Jan 17 19:36:32 +0000 2020,RT @C2N2Se: Flu shot for a dirty boy. https://t.co/614Idb4Utb,Argentina,General,93,177,0,7566,False,3607,False,http://pbs.twimg.com/profile_images/1077022154909274112/csqVflOn_normal.jpg,
grace ☆,Fri Jan 17 19:36:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Argentina,General,257,329,0,7792,False,12772,False,http://pbs.twimg.com/profile_images/1211885062410637313/fZwcnHfM_normal.jpg,
gee gee,Fri Jan 17 19:36:57 +0000 2020,RT @Rectitude20: This Mom shares her story of how 14 hours after the flu vaccine her healthy vibrant little boy suddenly died. The pediatr…,Argentina,General,685,830,0,22127,False,6539,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,
Brazil Men,Fri Jan 17 19:37:02 +0000 2020,Jose 52 beach football sport walking travel/holidays other https://t.co/42nT2EkfGL,Brazil,Brazil,35,0,12,0,False,10795,False,http://pbs.twimg.com/profile_images/3393996551/bbb5770640bdd635e76300e2aac30237_normal.png,
Ricccaaaa Americanoooo,Fri Jan 17 19:34:59 +0000 2020,Tried Coxinha at the Columbia Cafe https://t.co/1TbegDojn1,Brazil,Cafelândia,161,133,0,1752,False,6757,False,http://pbs.twimg.com/profile_images/1206958694669471744/a3IDf_kB_normal.jpg,
Mr FluffandBounce,Fri Jan 17 19:35:00 +0000 2020,🗣Get your flu shots people! This past week in the hospital has been TERRIBLE,Brazil,General,700,562,4,3994,False,12213,False,http://pbs.twimg.com/profile_images/1197985295024709632/ygw3nFJH_normal.jpg,
Board of Pensions,Fri Jan 17 19:35:08 +0000 2020,#DYK: All three Medical Plan options (PPO EPO and HDHP) cover annual flu shots from network providers at 100%! Th… https://t.co/Pqxs9zvcuh,Brazil,General,2489,1011,30,1140,False,4272,False,http://pbs.twimg.com/profile_images/1135530764655898624/0AwBzOn6_normal.jpg,
perfettamente imperfetto,Fri Jan 17 19:35:09 +0000 2020,Objetivo de vida:                      *️⃣Ir a un Tomorrowland,Argentina,San Justo,113,464,0,1241,False,1748,False,http://pbs.twimg.com/profile_images/1187323824167096320/cg2YSgcd_normal.jpg,
CAMPANAR1❄️,Fri Jan 17 19:35:10 +0000 2020,Kill me! I'm scary maggot...,Brasil,Santa Isabel do Ivaí,162,1220,1,1471,False,482,False,http://pbs.twimg.com/profile_images/1185513139602890754/aEu82na__normal.jpg,
Agustín Champret,Fri Jan 17 19:35:11 +0000 2020,@Tebii144 Okey,Argentina,Córdoba,479,301,0,3244,False,2143,False,http://pbs.twimg.com/profile_images/1206396967699537921/djCDEfFk_normal.jpg,
LEKINHO,Fri Jan 17 19:35:12 +0000 2020,@amroim22 Hope,Brasil,Rio de Janeiro,2385,1343,7,9734,False,24864,False,http://pbs.twimg.com/profile_images/1217148777691328516/OHvA6NkN_normal.jpg,
HaltonParents,Fri Jan 17 19:35:18 +0000 2020,RT @CPHO_Canada: Flu season isn’t over yet. Have you gotten your #flushot? It’s not too late. Find out where: https://t.co/5RjP8f4R3e https…,Brazil,General,8915,2753,212,4660,True,31963,False,http://pbs.twimg.com/profile_images/500382432978145280/z3G4SkbW_normal.png,
victor;,Fri Jan 17 19:35:19 +0000 2020,Fome,Brasil,Uberlândia,600,561,4,31239,False,62094,False,http://pbs.twimg.com/profile_images/1201172040390197249/K1psAXVP_normal.jpg,
Viking Ginge American,Fri Jan 17 19:35:21 +0000 2020,RT @Elaine427: This administration really hate kids. They will not provide flu vaccine for the kids that they caged take away the food sta…,Brazil,General,2435,3144,14,47747,False,64003,False,http://pbs.twimg.com/profile_images/1125482794183004162/wVxxRUec_normal.jpg,
Mwongela,Fri Jan 17 19:39:07 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,51,25,0,550,False,305,False,http://pbs.twimg.com/profile_images/1146970135409901568/8usuL6Zq_normal.jpg,
arlene,Fri Jan 17 19:39:19 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,137,98,0,10918,False,9846,False,http://pbs.twimg.com/profile_images/1216925071215861760/BnQABEqs_normal.jpg,
eevee,Fri Jan 17 19:39:22 +0000 2020,not @ how stressed out i am trying to get my flu vaccine done before 3 pm bc tickets are about to DROP 😭,Ecuador,General,1029,953,36,8295,False,3550,False,http://pbs.twimg.com/profile_images/1211869614038306817/aBlRDMUP_normal.jpg,
Aaron Pan,Fri Jan 17 19:39:24 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Ecuador,General,259,443,1,21615,False,8104,False,http://pbs.twimg.com/profile_images/1206008157597765632/WHyy3aFm_normal.jpg,
📼 ホイット・マクレンドン📼,Fri Jan 17 19:39:37 +0000 2020,@MintyCocoCalico @ChiefKacey Do it this with any popular furries 😆,Ecuador,Quito,2,22,0,2918,False,685,False,http://pbs.twimg.com/profile_images/1174881726755213313/vZK8ms6B_normal.jpg,
sonicj01,Fri Jan 17 19:40:04 +0000 2020,@blueongurls @BaileyNightsky9 @SamuelAdams89 @cateblandchett @tydedermody i have seen hard evidence from reputable… https://t.co/oFgukPjB1M,Ecuador,General,21,395,2,2573,False,4329,False,http://pbs.twimg.com/profile_images/1020045908745080832/zrsqPydL_normal.jpg,
blue eyes white dragon,Fri Jan 17 19:40:09 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,207,193,3,7394,False,13104,False,http://pbs.twimg.com/profile_images/1159171613515898880/obBTVnEX_normal.jpg,
Emily Penrose,Fri Jan 17 19:40:16 +0000 2020,RT @NBCNews: One of the age groups most likely to be sidelined by the flu this season is also the least likely to get flu shots: millennial…,Ecuador,General,93,165,1,145,False,266,False,http://pbs.twimg.com/profile_images/968535245669765120/_7E4xbL1_normal.jpg,
Iyana,Fri Jan 17 19:40:23 +0000 2020,Facts I just getting over the flu and army thought I had a common cold with a temperature of 101 😒,Ecuador,General,2641,2462,19,12098,False,63496,False,http://pbs.twimg.com/profile_images/1211403166060707840/ZUbR4C6D_normal.jpg,
solange,Fri Jan 17 19:40:24 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Ecuador,General,454,298,5,27416,False,37291,False,http://pbs.twimg.com/profile_images/1216624009778991104/Dj63uMx0_normal.jpg,
selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
V,Fri Jan 17 19:40:30 +0000 2020,RT @Chena_Punim: Listen guys you can’t get the flu from the flu shot. Only “flu-like illness.” You can’t get the measles from the MMR onl…,Uruguay,General,2718,4113,1,16398,False,16769,False,http://pbs.twimg.com/profile_images/1198036173756624896/Y-6isjdG_normal.jpg,
Dr. Bob Hitchcock,Fri Jan 17 19:40:32 +0000 2020,With months to go in this year's flu season the flu shot remains the best way to protect yourself from the potenti… https://t.co/UYGQZdTYN0,Uruguay,General,41,40,0,4,False,112,False,http://pbs.twimg.com/profile_images/1012184617829273602/Tjzw7XaP_normal.jpg,
shea butter 🌸,Fri Jan 17 19:40:33 +0000 2020,@6foot5nbearded Getting a flu shot gives you the flu . That’s why i stopped. I was literally in the hospital cause… https://t.co/64rWKrgKpn,Uruguay,General,2314,2176,2,2673,False,36709,False,http://pbs.twimg.com/profile_images/1211487921041227777/dgKGgVJN_normal.jpg,
qama,Fri Jan 17 19:40:42 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Uruguay,General,529,337,2,2571,False,61254,False,http://pbs.twimg.com/profile_images/997990949501390848/7_Yb8K1N_normal.jpg,
emily,Fri Jan 17 19:40:42 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Uruguay,General,161,147,0,7586,False,4076,False,http://pbs.twimg.com/profile_images/1091451487732015106/vjlqNAZ__normal.jpg,
NJ,Fri Jan 17 19:40:44 +0000 2020,RT @Rectitude20: This Mom shares her story of how 14 hours after the flu vaccine her healthy vibrant little boy suddenly died. The pediatr…,Uruguay,General,42,68,0,118,False,446,False,http://pbs.twimg.com/profile_images/1208803034421235713/xEETskZt_normal.jpg,
Ciara ♡,Fri Jan 17 19:40:58 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Uruguay,General,106,75,0,66052,False,14591,False,http://pbs.twimg.com/profile_images/1050249349144416256/w558NWaA_normal.jpg,
ams,Fri Jan 17 19:41:00 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Uruguay,General,34,42,0,1901,False,353,False,http://pbs.twimg.com/profile_images/1208203729834565632/Bim5Dmb6_normal.jpg,
Linda Tinkler,Fri Jan 17 19:41:01 +0000 2020,RT @MCushlow: What s brilliant achievement.We asked you to rise to the challenge to protect yourselves &amp; your pts @NewcastleHosps you smash…,Uruguay,General,1847,2331,28,13812,False,8383,False,http://pbs.twimg.com/profile_images/1193245998023352321/_hO3NNPc_normal.jpg,
Chelsea,Fri Jan 17 19:41:02 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Uruguay,General,470,185,2,3859,False,110671,False,http://pbs.twimg.com/profile_images/1157719595714666496/22YQ3L7t_normal.jpg,
Obi-Wan Kenobi,Fri Jan 17 19:37:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,1803,741,24,4560,False,127501,False,http://pbs.twimg.com/profile_images/1217120862438068224/a6wf8c80_normal.jpg,
𝓛𝓸𝓿𝓮𝓻,Fri Jan 17 19:37:19 +0000 2020,Idk how to feel right now,Venezuela,Maracaibo,201,178,0,4636,False,788,False,http://pbs.twimg.com/profile_images/1209333915959353345/pAB9wifO_normal.jpg,
🤡,Fri Jan 17 19:37:25 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,77,194,0,8612,False,52111,False,http://pbs.twimg.com/profile_images/1211221409407500288/HRImoPSq_normal.jpg,
Abraham Eduardo,Fri Jan 17 19:37:30 +0000 2020,[ House every weekend ]🎶 #house #dj #AAEBDJ #viernes en InterContinental Tamanaco Caracas https://t.co/fOcLlcDYRa,Venezuela,Nuestra Señora del Rosario de Baruta,88,284,1,2054,False,1982,False,http://pbs.twimg.com/profile_images/1215387742558834688/1HM2az8l_normal.jpg,
♥,Fri Jan 17 19:37:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,294,333,0,38489,False,11708,False,http://pbs.twimg.com/profile_images/1214778843308941313/l9yS0CbJ_normal.jpg,
K,Fri Jan 17 19:37:35 +0000 2020,@jimmime1 @med1cinewoman Flu shotMMA boosterRogam Healthy and thriving five year old with above average intelligence as a result.,Venezuela,General,1165,255,5,11175,False,4465,False,http://pbs.twimg.com/profile_images/1204522596592734209/GkSd_dFO_normal.jpg,
LauraH,Fri Jan 17 19:37:40 +0000 2020,RT @LabHaynes: Anyone can die from the #flu. Are you protected by the #fluvaccine?,Venezuela,General,6669,5944,29,135158,False,77265,False,http://pbs.twimg.com/profile_images/1093271681773244418/1HqrbgRK_normal.jpg,
ChaposDisciple,Fri Jan 17 19:37:57 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,321,109,5,9329,False,22646,False,http://pbs.twimg.com/profile_images/1212507859679764480/bxzvhJkK_normal.jpg,
ጌ.,Fri Jan 17 19:38:04 +0000 2020,@Sonicj01 @BaileyNightsky9 @SamuelAdams89 @cateblandchett @tydedermody ok but if you haven’t seen germs in real lif… https://t.co/xd9gKbM3VG,Venezuela,General,540,516,1,3024,False,4471,False,http://pbs.twimg.com/profile_images/1217832676641603584/ZqmPgzy2_normal.jpg,
🍍 Josh | Manifesting Greatness | 6'5,Fri Jan 17 19:38:08 +0000 2020,This is the widest lense I've ever owned(apart from the fisheye). I'm fully excited.,Trinidad and Tobago,Trinidad and Tobago,2009,705,45,38624,False,101502,False,http://pbs.twimg.com/profile_images/1217858915280527361/PDF3bMIK_normal.jpg,
